Date,Tesla,BYD
2019-01-02,20.674667358398438,11.989724159240723
2019-01-03,20.02400016784668,11.415541648864746
2019-01-04,21.179332733154297,11.85347843170166
2019-01-07,22.33066749572754,11.872941017150879
2019-01-08,22.356666564941406,12.50551700592041
2019-01-09,22.568666458129883,12.06757926940918
2019-01-10,22.99799919128418,11.834013938903809
2019-01-11,23.150667190551758,11.785353660583496
2019-01-14,22.293333053588867,11.143049240112305
2019-01-15,22.961999893188477,11.337686538696289
2019-01-16,23.06999969482422,11.444738388061523
2019-01-17,23.15399932861328,10.851089477539062
2019-01-18,20.150667190551758,10.987337112426758
2019-01-22,19.92799949645996,10.89001750946045
2019-01-23,19.172666549682617,11.152779579162598
2019-01-24,19.43400001525879,11.435005187988281
2019-01-25,19.80266761779785,11.629644393920898
2019-01-28,19.7586669921875,11.52259349822998
2019-01-29,19.83066749572754,11.405811309814453
2019-01-30,20.584667205810547,11.327956199645996
2019-01-31,20.468000411987305,11.49339771270752
2019-02-01,20.81399917602539,11.590716361999512
2019-02-04,20.859333038330078,11.746427536010742
2019-02-05,21.42333221435547,11.950797080993652
2019-02-06,21.148000717163086,11.834013938903809
2019-02-07,20.500667572021484,11.688035011291504
2019-02-08,20.386667251586914,11.551789283752441
2019-02-11,20.856000900268555,11.756157875061035
2019-02-12,20.78733253479004,12.135704040527344
2019-02-13,20.544666290283203,12.54444408416748
2019-02-14,20.251333236694336,12.816938400268555
2019-02-15,20.525333404541016,12.50551700592041
2019-02-19,20.375999450683594,12.242754936218262
2019-02-20,20.17066764831543,12.427660942077637
2019-02-21,19.415332794189453,12.34007453918457
2019-02-22,19.6473331451416,12.369270324707031
2019-02-25,19.917999267578125,13.235410690307617
2019-02-26,19.857332229614258,12.797473907470703
2019-02-27,20.982667922973633,12.369270324707031
2019-02-28,21.325332641601562,12.417929649353027
2019-03-01,19.652666091918945,12.427660942077637
2019-03-04,19.02400016784668,12.02865219116211
2019-03-05,18.43600082397461,12.271950721740723
2019-03-06,18.416000366210938,12.194095611572266
2019-03-07,18.439332962036133,12.164899826049805
2019-03-08,18.94266700744629,11.688035011291504
2019-03-11,19.39466667175293,11.697768211364746
2019-03-12,18.890666961669922,11.77562427520752
2019-03-13,19.263999938964844,11.629644393920898
2019-03-14,19.33066749572754,11.717231750488281
2019-03-15,18.36199951171875,12.106507301330566
2019-03-18,17.965999603271484,12.359536170959473
2019-03-19,17.83133316040039,12.320611000061035
2019-03-20,18.239999771118164,12.437393188476562
2019-03-21,18.26799964904785,12.476319313049316
2019-03-22,17.635332107543945,12.447125434875488
2019-03-25,17.3613338470459,12.349806785583496
2019-03-26,17.851333618164062,12.37900161743164
2019-03-27,18.32200050354004,11.756157875061035
2019-03-28,18.57466697692871,11.736695289611816
2019-03-29,18.657333374023438,11.736695289611816
2019-04-01,19.278667449951172,11.960530281066895
2019-04-02,19.058666229248047,12.194095611572266
2019-04-03,19.45400047302246,12.388733863830566
2019-04-04,17.851999282836914,12.534712791442871
2019-04-05,18.33066749572754,12.563907623291016
2019-04-08,18.213333129882812,12.670960426330566
2019-04-09,18.15399932861328,12.758546829223633
2019-04-10,18.40399932861328,13.00184440612793
2019-04-11,17.89466667175293,12.82667064666748
2019-04-12,17.84666633605957,12.914257049560547
2019-04-15,17.7586669921875,12.943453788757324
2019-04-16,18.224000930786133,12.923988342285156
2019-04-17,18.082000732421875,14.354582786560059
2019-04-18,18.21733283996582,14.062623023986816
2019-04-22,17.516666412353516,14.004233360290527
2019-04-23,17.593332290649414,13.81932544708252
2019-04-24,17.243999481201172,13.420317649841309
2019-04-25,16.5086669921875,13.040772438049316
2019-04-26,15.675999641418457,13.186751365661621
2019-04-29,16.097999572753906,13.118627548217773
2019-04-30,15.912667274475098,13.177019119262695
2019-05-01,15.600666999816895,13.16728687286377
2019-05-02,16.273332595825195,13.177019119262695
2019-05-03,17.00200080871582,13.33272933959961
2019-05-06,17.022666931152344,12.797473907470703
2019-05-07,16.470666885375977,12.398465156555176
2019-05-08,16.32266616821289,12.31087875366211
2019-05-09,16.131999969482422,12.125972747802734
2019-05-10,15.968000411987305,12.252487182617188
2019-05-13,15.133999824523926,11.765892028808594
2019-05-14,15.487333297729492,12.038385391235352
2019-05-15,15.463333129882812,12.116240501403809
2019-05-16,15.222000122070312,12.106507301330566
2019-05-17,14.0686674118042,11.726963996887207
2019-05-20,13.690667152404785,11.415541648864746
2019-05-21,13.67199993133545,11.580984115600586
2019-05-22,12.84866714477539,11.464200973510742
2019-05-23,13.03266716003418,11.094388961791992
2019-05-24,12.708666801452637,11.230634689331055
2019-05-28,12.579999923706055,11.678303718566895
2019-05-29,12.657333374023438,11.717231750488281
2019-05-30,12.54800033569336,11.571252822875977
2019-05-31,12.343999862670898,11.28902816772461
2019-06-03,11.9313325881958,11.435005187988281
2019-06-04,12.90666675567627,11.337686538696289
2019-06-05,13.105999946594238,11.1917085647583
